Node ASSEMBLY.1,Node ASSEMBLY.1
RF,U
0.0,0.0
1.5359160755469457e-08,1.86264523770185e-12
1.6242111723876712e-08,3.72529047540371e-12
2.023016400839199e-08,6.51925822353627e-12
2.3518084945139823e-08,7.56699564119501e-12
1.2948585982233526e-08,9.13860306872571e-12
3.100020177942601e-08,1.149601334266e-11
2.686150419942158e-08,1.50321283198807e-11
2.8846341287683804e-08,2.03363020867542e-11
2.630126495299749e-08,2.03414819710535e-11
4.522622523016053e-08,2.03466618553527e-11
9.38993867105059e-08,2.03486030109223e-11
1.0122809966957845e-07,2.03493315947822e-11
8.354810979670453e-08,2.03504244705721e-11
8.207975369471273e-08,2.03520637842569e-11
1.052498379094004e-07,2.03521019481734e-11
2.8837197327040283e-08,2.03521591940481e-11
2.8837467552708402e-08,2.03522459302219e-11
2.8837148263097803e-08,2.03522546038393e-11
2.883712324396719e-08,2.03522667469036e-11
2.8837350937403853e-08,2.03522840941384e-11
2.8837373114996937e-08,2.0352311849714e-11
2.883733104271592e-08,2.03523534830774e-11
2.883615672967843e-08,2.03524141983991e-11
2.8840127174866335e-08,2.03525061387433e-11
2.8839813118126846e-08,2.03526449166214e-11
2.8839322392061407e-08,2.03528530834385e-11
2.883842893705493e-08,2.03529311459949e-11
2.882003154343925e-08,2.03529380848888e-11
2.883829606155506e-08,2.03529415543358e-11
2.8838299337126808e-08,2.03529450237827e-11
2.883829249963038e-08,2.03529502279531e-11
2.8837630132998047e-08,2.0352960636294e-11
3.120784074220239e-08,2.03529745140818e-11
3.1709748804415295e-08,2.03529762488053e-11
3.22330403960457e-08,2.03529779835288e-11
2.971284236504869e-08,2.03529797182522e-11
1.8818182168236266e-08,2.03529849224227e-11
4.765647934057984e-08,2.03529866571461e-11
4.056472223996243e-08,2.03529866571461e-11
4.242796511452315e-08,2.03529866571461e-11
2.9483225662927668e-08,2.03529866571461e-11
3.3107510143843304e-08,2.03529866571461e-11
4.481741148208588e-08,2.03529866571461e-11
3.0919018227432297e-08,2.03529866571461e-11
2.5960302612674875e-08,2.03529866571461e-11
2.8115396429215068e-08,2.03529866571461e-11
6.097619671756436e-08,2.03529866571461e-11
4.5273747607527394e-08,2.03529883918696e-11
6.347502504152307e-08,2.03529883918696e-11
6.586351719381574e-08,2.03529883918696e-11
4.0325421045631965e-08,2.03529883918696e-11
4.300417819685368e-08,2.03529883918696e-11
4.073051200606866e-08,2.03529883918696e-11
3.970483133540813e-08,2.03529883918696e-11
3.690431056998372e-08,2.03529883918696e-11
3.820269727284059e-08,2.03529883918696e-11
3.9018489387898956e-08,2.03529883918696e-11
4.0747468879780066e-08,2.03529883918696e-11
1.6602293204745774e-07,2.03529883918696e-11
3.1452925089108756e-08,2.03529883918696e-11
2.7327630767632e-08,2.03529883918696e-11
2.4087295395160217e-08,2.03529883918696e-11
2.6755196753231824e-08,2.03529883918696e-11
2.0693819505034718e-08,2.03529883918696e-11
3.2532421357896826e-08,2.03529883918696e-11
5.2156280207096065e-08,2.03529883918696e-11
2.9490217285227593e-08,2.03529883918696e-11
2.2276012058048367e-08,2.03529883918696e-11
2.777239703200368e-08,2.03529883918696e-11
2.9053794851431358e-08,2.03529883918696e-11
4.456492388991567e-08,2.03529883918696e-11
3.469979824674581e-08,2.03529883918696e-11
2.3825775671736e-08,2.03529883918696e-11
4.5334912154071263e-08,2.03529883918696e-11
3.3982114200543404e-08,2.03529883918696e-11
3.4358406962782765e-08,2.03529883918696e-11
3.4229332937867406e-08,2.03529883918696e-11
3.4777717081998144e-08,2.03529883918696e-11
3.757262681887799e-08,2.03529883918696e-11
3.5002328041367974e-08,2.03529883918696e-11
3.356178261173024e-08,2.03529883918696e-11
2.7751386258497285e-08,2.03529883918696e-11
2.6484136585139827e-08,2.03529883918696e-11
2.6484136585139827e-08,2.03529883918696e-11
