Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6
RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.0,0.0,0.247500121593475,0.0,0.0,0.0199999995529652,-0.0,0.0,0.247500121593475,0.0,0.0,0.0199999995529652,-0.0,-0.0,0.247500121593475,0.0,0.0,0.0199999995529652,-0.0,-0.0,0.247500121593475,0.0,0.0,0.0199999995529652
-0.0,9.92668397532232e-38,0.245000123977661,0.0,0.0,0.0399999991059303,-0.0,4.81872462302652e-38,0.245000123977661,0.0,0.0,0.0399999991059303,-0.0,-9.92668397532232e-38,0.245000123977661,0.0,0.0,0.0399999991059303,-0.0,-4.81872462302652e-38,0.245000123977661,0.0,0.0,0.0399999991059303
-0.0,1.75139337956175e-37,0.242500126361847,0.0,0.0,0.0599999986588955,-0.0,1.75139337956175e-37,0.242500126361847,0.0,0.0,0.0599999986588955,-0.0,-1.75139337956175e-37,0.242500126361847,0.0,0.0,0.0599999986588955,-0.0,-1.75139337956175e-37,0.242500126361847,0.0,0.0,0.0599999986588955
-0.0,-0.0,0.240000113844872,0.0,0.0,0.0799999982118607,-0.0,-0.0,0.240000113844872,0.0,0.0,0.0799999982118607,0.0,-0.0,0.240000113844872,0.0,0.0,0.0799999982118607,-0.0,-0.0,0.240000113844872,0.0,0.0,0.0799999982118607
-0.0,9.62280578920473e-37,0.237500116229057,0.0,0.0,0.100000001490116,-0.0,4.67121251207622e-37,0.237500116229057,0.0,0.0,0.100000001490116,-0.0,-9.62280578920473e-37,0.237500116229057,0.0,0.0,0.100000001490116,-0.0,-4.67121251207622e-37,0.237500116229057,0.0,0.0,0.100000001490116
0.0,1.79333090750865e-38,0.235000118613243,0.0,0.0,0.119999997317791,0.0,6.69280213155542e-38,0.235000118613243,0.0,0.0,0.119999997317791,0.0,-1.79333090750865e-38,0.235000118613243,0.0,0.0,0.119999997317791,0.0,-6.69280213155542e-38,0.235000118613243,0.0,0.0,0.119999997317791
-0.0,1.56722619306474e-36,0.232500120997429,0.0,0.0,0.140000000596046,-0.0,1.56722619306474e-36,0.232500120997429,0.0,0.0,0.140000000596046,-0.0,-1.56722619306474e-36,0.232500120997429,0.0,0.0,0.140000000596046,-0.0,-1.56722619306474e-36,0.232500120997429,0.0,0.0,0.140000000596046
0.0,9.36093326216537e-38,0.230000108480453,0.0,0.0,0.159999996423721,0.0,3.49354783019239e-37,0.230000108480453,0.0,0.0,0.159999996423721,0.0,-9.36093326216537e-38,0.230000108480453,0.0,0.0,0.159999996423721,0.0,-3.49354783019239e-37,0.230000108480453,0.0,0.0,0.159999996423721
